Date,Air Pax Traffic
2015-01-01,4418898
2015-02-01,4120349
2015-03-01,4533157
2015-04-01,4390378
2015-05-01,4479350
2015-06-01,4698039
2015-07-01,4892631
2015-08-01,4953864
2015-09-01,4420828
2015-10-01,4599667
2015-11-01,4634982
2015-12-01,5291369
2016-01-01,4858945
2016-02-01,4599829
2016-03-01,4901718
2016-04-01,4792867
2016-05-01,4780803
2016-06-01,4837764
2016-07-01,5177473
2016-08-01,4921731
2016-09-01,4583771
2016-10-01,4767942
2016-11-01,4784048
2016-12-01,5674844
2017-01-01,5255273
2017-02-01,4668566
2017-03-01,5111217
2017-04-01,5167714
2017-05-01,5002657
2017-06-01,5206586
2017-07-01,5414640
2017-08-01,5264294
2017-09-01,4925995
2017-10-01,5152944
2017-11-01,5171043
2017-12-01,5844671
2018-01-01,5300415
2018-02-01,4892586
2018-03-01,5549437
2018-04-01,5424768
2018-05-01,5290440
2018-06-01,5549651
2018-07-01,5719106
2018-08-01,5676788
2018-09-01,5218917
2018-10-01,5372500
2018-11-01,5404487
2018-12-01,6090115
2019-01-01,5643223
2019-02-01,5104270
2019-03-01,5625168
2019-04-01,5568123
2019-05-01,5393790
2019-06-01,5789414
2019-07-01,5902822
2019-08-01,5890268
2019-09-01,5463482
2019-10-01,5645840
2019-11-01,5715628
2019-12-01,6395172
